question,intent
Can I talk to a agent,talk_to_agent
Can I please talk to a agent,talk_to_agent
Let me talk to a agent,talk_to_agent
I don't like speaking to a robot,talk_to_agent
i want to talk to a agent,talk_to_agent
can i talk to a  agent,talk_to_agent
will you please connect me to a agent,talk_to_agent
talk to human,talk_to_agent
i want talk to human,talk_to_agent
any human agent,talk_to_agent
connect to agents,talk_to_agent
connect to customer service executive,talk_to_agent
sweet dreams,st_goodnight
good night,st_goodnight
have a good night,st_goodnight
good night to you,st_goodnight
thank you good night,st_goodnight
bye good night,st_goodnight
Hii,st_greetings
Hi,st_greetings
Hello,st_greetings
Hey.,st_greetings
Hi There!,st_greetings
hello there,st_greetings
heya,st_greetings
hiii,st_greetings
okay see you later,st_goodbye
hope to see you later,st_goodbye
bye for now,st_goodbye
till next time,st_goodbye
bye,st_goodbye
goodbye,st_goodbye
see you,st_goodbye
How to set up a business?,how_to_set_up_a_business
How to obtain a Business Registration Card/ Number?,how_to_obtain_a_business_registration_card_number
Is registration compulsory?,is_registration_compulsory
Who can apply for the Certificate?,who_can_apply_for_the_certificate
How can the application be made?,how_can_the_application_be_made
What are the Documents to be submitted when applying for registration?,what_are_the_documents_to_be_submitted_when_applying_for_registration
What happens after the application?,what_happens_after_the_application
Can I utilize the SME Certificate instead of a trade licence (Payment of Trade Fee)?,can_i_utilize_the_sme_certificate_instead_of_a_trade_licence_(payment_of_trade_fee)
Is the Application for Registration free of charge?,is_the_application_for_registration_free_of_charge
Validity of the SME Certificate?,validity_of_the_sme_certificate
Can the SME Certificate be amended?,can_the_sme_certificate_be_amended
What is the definition of SME,what_is_the_definition_of_sme
How and where to apply for Registration Certificate for Mid-Market Enterprise,how_and_where_to_apply_for_registration_certificate_for_mid-market_enterprise
Who can apply for SME Registration Certificate,who_can_apply_for_sme_registration_certificate
Who can apply for Registration Certificate for Mid-Market Enterprise,who_can_apply_for_registration_certificate_for_mid-market_enterprise
Documents to be submitted when applying as Individual,documents_to_be_submitted_when_applying_as_individual
Documents to be submitted when applying as Company,documents_to_be_submitted_when_applying_as_company
Documents to be submitted when applying as Societe/ Partnership,documents_to_be_submitted_when_applying_as_societe_partnership
How to apply for SME Registration Certificate online,how_to_apply_for_sme_registration_certificate_online
How to check that an online application has been successfully made,how_to_check_that_an_online_application_has_been_successfully_made
How to apply for Registration Certificate for Mid-Market Enterprise,how_to_apply_for_registration_certificate_for_mid-market_enterprise
Is there any fee payable for the issue of a SME Registration Certificate,is_there_any_fee_payable_for_the_issue_of_a_sme_registration_certificate
Is there any fee payable for the issue of a Registration Certificate for Mid-Market Enterprise,is_there_any_fee_payable_for_the_issue_of_a_registration_certificate_for_mid-market_enterprise
How to renew SME Registration Certificate or Registration Certificate for Mid-Market Enterprise,how_to_renew_sme_registration_certificate_or_registration_certificate_for_mid-market_enterprise
I have changes to bring the SME Registration Certificate or Registration Certificate for Mid-Market Enterprise,i_have_changes_to_bring_the_sme_registration_certificate_or_registration_certificate_for_mid-market_enterprise
User account password not received following creation of user account online,user_account_password_not_received_following_creation_of_user_account_online
"User account password not received after opting for ""Forgot Password"" online","user_account_password_not_received_after_opting_for_""forgot_password""_online"
Saving online application as draft application. What does it mean and imply,saving_online_application_as_draft_application_what_does_it_mean_and_imply
How to apply for Duplicate SME Registration Certificate or Duplicate Registration Certificate for Mid-Market Enterprise,how_to_apply_for_duplicate_sme_registration_certificate_or_duplicate_registration_certificate_for_mid-market_enterprise
What is the obligation of the registered SMEs / Mid-Market Enterprises in case of cessation of business activity,what_is_the_obligation_of_the_registered_smes_mid-market_enterprises_in_case_of_cessation_of_business_activity
How to get a list of registered SMEs,how_to_get_a_list_of_registered_smes
What are SME Support & Schemes available,what_are_sme_support_&_schemes_available
What Govt financial support can SMEs get,what_govt_financial_support_can_smes_get
Financial Support to SMEs given by commercial banks and leasing companies,financial_support_to_smes_given_by_commercial_banks_and_leasing_companies
Where can SMEs get support to export,where_can_smes_get_support_to_export
Support given to SMEs to lease industrial building,support_given_to_smes_to_lease_industrial_building
"About SMEs Division, Minister, Mission and Vision, Key Staff, Legislation, Contact or other info",about_smes_division_minister_mission_and_vision_key_staff_legislation_contact_or_other_info
What documents are required for a transfer of a pupil from a Government school (GS) to another GS,what_documents_are_required_for_a_transfer_of_a_pupil_from_a_government_school_(gs)_to_another_gs
What documents are required for a transfer of a pupil from a Government school (GS) to a RCA School (SEDEC),what_documents_are_required_for_a_transfer_of_a_pupil_from_a_government_school_(gs)_to_a_rca_school_(sedec)
How many Government Primary Schools are there in Zone 3?,how_many_government_primary_schools_are_there_in_zone_3
How many SEDEC/RCA Primary Schools are there in Zone 3?,how_many_sedecrca_primary_schools_are_there_in_zone_3
What is the procedure to be followed in case a pupil is transferred from a private primary school to a public primay school?,what_is_the_procedure_to_be_followed_in_case_a_pupil_is_transferred_from_a_private_primary_school_to_a_public_primay_school
How do inspectors monitor the proper implementation of EDLP at schools?,how_do_inspectors_monitor_the_proper_implementation_of_edlp_at_schools
What is the aim/purpose of the PSR?,what_is_the_aimpurpose_of_the_psr
Why the PSR?,why_the_psr
When is the instrument administered?,when_is_the_instrument_administered
What is the design of HKP?,what_is_the_design_of_hkp
What is the goal of the programme?,what_is_the_goal_of_the_programme
What is the target group?,what_is_the_target_group
What is the design of the project?,what_is_the_design_of_the_project
Participation in 2020,participation_in_2020
Who can apply for entry into the SRM Registry?,who_can_apply_for_entry_into_the_srm_registry
Where must I go for registration for SRM?,where_must_i_go_for_registration_for_srm
How to access the Human Resource Development and Training Division website?,how_to_access_the_human_resource_development_and_training_division_website
Which departments fall under the purview of the Human Resource Development and Training Division?,which_departments_fall_under_the_purview_of_the_human_resource_development_and_training_division
What is the activities of the Human Resource Development and Training Division?,what_is_the_activities_of_the_human_resource_development_and_training_division
I am unemployed and looking for a job. Where can I find available vacancies?,i_am_unemployed_and_looking_for_a_job_where_can_i_find_available_vacancies
